Student Number,First Name,Last Name,Email
1,Edward,Elric,edward.elric@email.com
2,Alphonse,Elric,alphonse.elric@email.com
3,xxxxxxx,xxxxxxx,xxxxxxx
4,xxxxxxx,xxxxxxx,xxxxxxx
5,xxxxxxx,xxxxxxx,xxxxxxx
6,xxxxxxx,xxxxxxx,xxxxxxx
7,xxxxxxx,xxxxxxx,xxxxxxx
8,xxxxxxx,xxxxxxx,xxxxxxx
9,xxxxxxx,xxxxxxx,xxxxxxx
10,xxxxxxx,xxxxxxx,xxxxxxx
11,xxxxxxx,xxxxxxx,xxxxxxx
12,xxxxxxx,xxxxxxx,xxxxxxx
13,xxxxxxx,xxxxxxx,xxxxxxx
14,xxxxxxx,xxxxxxx,xxxxxxx
15,xxxxxxx,xxxxxxx,xxxxxxx
16,xxxxxxx,xxxxxxx,xxxxxxx
17,xxxxxxx,xxxxxxx,xxxxxxx
18,xxxxxxx,xxxxxxx,xxxxxxx
19,xxxxxxx,xxxxxxx,xxxxxxx
20,xxxxxxx,xxxxxxx,xxxxxxx
